referenceNumber,engine,commandId,title,description,sourceDocument,implementation
444,الحافظة والأتمتة والاختصارات,insert-contract-tracker,متابعة العقود,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
445,الحافظة والأتمتة والاختصارات,insert-date-time,إدراج تاريخ ووقت,إدراج التاريخ والوقت الحاليين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
446,التدقيق القانوني والعقود,legal-clause-checklist,قائمة فحص بنود العقد,إدراج قائمة تدقيق للبنود الأساسية والمخاطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
447,التدقيق القانوني والعقود,legal-highlight-dates,تمييز التواريخ والمدد,تمييز الأنماط المحتملة للتواريخ والمدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
448,التدقيق القانوني والعقود,insert-decision-log,سجل القرارات,إدراج جدول احترافي لتوثيق القرارات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
449,التدقيق القانوني والعقود,insert-distribution-list-pro,قائمة التوزيع,إدراج جدول الجهات المستلمة ووسيلة الإرسال والحالة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
450,التدقيق القانوني والعقود,insert-document-control,بطاقة ضبط المستند,إدراج بطاقة رقم الإصدار والمالك والمراجعة والاعتماد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
451,التدقيق القانوني والعقود,insert-inventory-table-pro,سجل مخزون,إدراج جدول مخزون وكميات ومواقع وحالة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
452,التدقيق القانوني والعقود,insert-kpi-table,جدول مؤشرات KPI,إدراج إطار مؤشرات أداء ونتائج.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
453,التدقيق القانوني والعقود,insert-raci-matrix,مصفوفة RACI,إدراج جدول توزيع المسؤوليات RACI.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
454,التدقيق القانوني والعقود,insert-risk-register-pro,سجل مخاطر احترافي,إدراج سجل مخاطر متكامل بثمانية أعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
455,التدقيق القانوني والعقود,insert-timeline-table,جدول زمني,إدراج جدول أنشطة ومواعيد ومسؤوليات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
456,التدقيق القانوني والعقود,insert-yes-no-table,قائمة تحقق نعم/لا,إدراج جدول Checklist مؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
457,التدقيق القانوني والعقود,insert-decision-log-v3,سجل القرارات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
458,التدقيق القانوني والعقود,insert-document-register-v3,سجل الوثائق,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
459,التدقيق القانوني والعقود,insert-donor-results,مصفوفة نتائج مانح,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
460,التدقيق القانوني والعقود,insert-incident-register,سجل الحوادث,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
461,التدقيق القانوني والعقود,insert-inventory-register-v3,سجل المخزون المتقدم,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
462,التدقيق القانوني والعقود,insert-kpi-dashboard,لوحة مؤشرات KPI,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
463,التدقيق القانوني والعقود,insert-leave-tracker,متابعة الإجازات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
464,التدقيق القانوني والعقود,insert-lessons-learned,الدروس المستفادة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
465,التدقيق القانوني والعقود,insert-medical-triage,نموذج فرز طبي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
466,التدقيق القانوني والعقود,insert-meeting-agenda,جدول أعمال اجتماع,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
467,التدقيق القانوني والعقود,insert-meeting-minutes,محضر اجتماع تنفيذي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
468,التدقيق القانوني والعقود,insert-milestone-register,سجل المعالم,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
469,التدقيق القانوني والعقود,insert-procurement-plan,خطة المشتريات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
470,التدقيق القانوني والعقود,insert-project-timeline,الجدول الزمني للمشروع,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
471,التدقيق القانوني والعقود,insert-quality-checklist,قائمة فحص الجودة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
472,التدقيق القانوني والعقود,insert-raci-matrix-v3,مصفوفة RACI,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
473,التدقيق القانوني والعقود,insert-risk-register-v3,سجل المخاطر العالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
474,التدقيق القانوني والعقود,insert-stakeholder-register,سجل أصحاب المصلحة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
475,التدقيق القانوني والعقود,insert-training-matrix,مصفوفة التدريب,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
476,التدقيق القانوني والعقود,filter-remove-latin-pro,حذف الأحرف اللاتينية,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
477,التدقيق القانوني والعقود,filter-slashes-to-dashes-pro,تحويل الشرطات المائلة إلى شرطات,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
478,التدقيق القانوني والعقود,font-arial-14,Arial 14,تطبيق Arial 14 عربي وإنجليزي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
479,التدقيق القانوني والعقود,font-calibri-11,Calibri 11,تطبيق Calibri 11.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
480,التدقيق القانوني والعقود,font-tahoma-12,Tahoma 12,تطبيق Tahoma 12.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
481,إدارة المشاريع والمهام,project-weekly-status,تقرير الحالة الأسبوعي,إدراج قالب حالة أسبوعية للمشروع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
482,إدارة المشاريع والمهام,project-deliverables-register,سجل المخرجات,إدراج سجل للمخرجات والمواعيد والقبول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
483,إدارة المشاريع والمهام,project-gantt-table,جدول Gantt مبسط,إدراج جدول زمني للمهام والتقدم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
484,إدارة المشاريع والمهام,project-task-board,لوحة المهام,إدراج جدول To Do / Doing / Done.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
485,إدارة المشاريع والمهام,template-concept-note,مذكرة مفاهيمية,إدراج هيكل Concept Note.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
486,إدارة المشاريع والمهام,template-project-report,تقرير مشروع,إدراج قالب تقرير مشروع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
487,إدارة المشاريع والمهام,template-risk-register,سجل مخاطر,إدراج جدول سجل مخاطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
488,إدارة المشاريع والمهام,template-sop,إجراء تشغيلي SOP,إدراج هيكل SOP.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
489,إدارة المشاريع والمهام,template-action-plan,خطة عمل,إدراج جدول خطة عمل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
490,إدارة المشاريع والمهام,template-agenda,جدول أعمال,إدراج قالب جدول أعمال اجتماع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
491,إدارة المشاريع والمهام,template-attendance,كشف حضور,إدراج كشف حضور.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
492,إدارة المشاريع والمهام,template-certificate,شهادة تقدير,إدراج قالب شهادة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
493,إدارة المشاريع والمهام,template-cover-letter,خطاب تغطية,إدراج قالب Cover Letter عربي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
494,إدارة المشاريع والمهام,template-donor-report,تقرير جهة مانحة,إدراج هيكل تقرير مانحين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
495,إدارة المشاريع والمهام,template-handover,تسليم واستلام,إدراج محضر تسليم واستلام.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
496,إدارة المشاريع والمهام,template-invoice,فاتورة,إدراج قالب فاتورة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
497,إدارة المشاريع والمهام,template-medical-report,تقرير طبي,إدراج قالب تقرير طبي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
498,إدارة المشاريع والمهام,template-memo,مذكرة داخلية,إدراج قالب مذكرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
499,إدارة المشاريع والمهام,template-minutes,محضر اجتماع,إدراج قالب محضر اجتماع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
500,إدارة المشاريع والمهام,template-official-letter,خطاب رسمي,إدراج قالب خطاب رسمي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
501,إدارة المشاريع والمهام,template-quotation,عرض سعر,إدراج قالب عرض سعر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
502,إدارة المشاريع والمهام,font-tahoma-14,Tahoma 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
503,إدارة المشاريع والمهام,font-times-11,Times New Roman 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
504,إدارة المشاريع والمهام,font-times-12,Times New Roman 12,تطبيق Times New Roman 12.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
505,إدارة المشاريع والمهام,font-times-14,Times New Roman 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
506,إدارة المشاريع والمهام,font-traditional-arabic-16,Traditional Arabic 16,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
507,إدارة المشاريع والمهام,font-trebuchet-11,Trebuchet MS 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
508,إدارة المشاريع والمهام,font-verdana-10,Verdana 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
509,إدارة المشاريع والمهام,format-apply,تطبيق لقطة التنسيق,تطبيق آخر تنسيق محفوظ.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
510,إدارة المشاريع والمهام,format-arabic-report,تقرير عربي,تنسيق تقرير عربي احترافي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
511,إدارة المشاريع والمهام,format-copy,حفظ لقطة تنسيق,حفظ تنسيق النص الحالي داخل الجلسة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
512,إدارة المشاريع والمهام,hanging-indent,مسافة بادئة معلّقة,تطبيق Hanging Indent قياسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
513,إدارة المشاريع والمهام,heading-1,عنوان 1,تطبيق Heading 1.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
514,إدارة المشاريع والمهام,heading-2,عنوان 2,تطبيق Heading 2.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
515,إدارة المشاريع والمهام,heading-3,عنوان 3,تطبيق Heading 3.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
516,إدارة المشاريع والمهام,health-check,فحص الإضافة,عرض حالة الاتصال وإصدار Word والسجل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
517,إدارة المشاريع والمهام,highlight-term,تمييز كلمة أو عبارة,تمييز جميع مرات ظهور النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
518,إدارة المشاريع والمهام,indent-first-0-5cm,مسافة بادئة السطر الأول 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
519,إدارة المشاريع والمهام,indent-first-1cm,مسافة بادئة السطر الأول 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
520,إدارة المشاريع والمهام,indent-first-line,مسافة بادئة للسطر الأول,تطبيق مسافة بادئة 0.75 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
521,إدارة النماذج وإدخال البيانات,indent-hanging-0-5cm,مسافة بادئة معلّقة 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
522,إدارة النماذج وإدخال البيانات,indent-hanging-1cm,مسافة بادئة معلّقة 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
523,إدارة النماذج وإدخال البيانات,indent-left-0-5cm,مسافة بادئة يسار 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
524,إدارة النماذج وإدخال البيانات,indent-left-1cm,مسافة بادئة يسار 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
525,إدارة النماذج وإدخال البيانات,indent-remove,إزالة المسافات البادئة,إزالة إزاحات الفقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
526,إدارة النماذج وإدخال البيانات,indent-right-0-5cm,مسافة بادئة يمين 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
527,إدارة النماذج وإدخال البيانات,indent-right-1cm,مسافة بادئة يمين 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
528,إدارة النماذج وإدخال البيانات,insert-section-continuous,مقطع مستمر,إدراج Section Break Continuous.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
529,إدارة النماذج وإدخال البيانات,insert-signature,كتلة توقيع,إدراج اسم وصفة وتوقيع وتاريخ.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
530,إدارة النماذج وإدخال البيانات,license-info,حالة الترخيص,عرض حالة الترخيص ومعرّف الجهاز.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
531,إدارة النماذج وإدخال البيانات,line-exact-12,تباعد ثابت 12 نقطة,تعيين تباعد أسطر ثابت بدقة 12 نقطة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
532,إدارة النماذج وإدخال البيانات,line-exact-14,تباعد ثابت 14 نقطة,تعيين تباعد أسطر ثابت بدقة 14 نقطة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
533,إدارة النماذج وإدخال البيانات,line-exact-16,تباعد ثابت 16 نقطة,تعيين تباعد أسطر ثابت بدقة 16 نقطة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
534,إدارة النماذج وإدخال البيانات,line-exact-18,تباعد ثابت 18 نقطة,تعيين تباعد أسطر ثابت بدقة 18 نقطة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
535,إدارة النماذج وإدخال البيانات,line-numbers-off,إيقاف أرقام الأسطر,إخفاء ترقيم الأسطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
536,إدارة النماذج وإدخال البيانات,line-numbers-on,تشغيل أرقام الأسطر,إظهار ترقيم الأسطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
537,إدارة النماذج وإدخال البيانات,line-spacing-1,تباعد مفرد,تباعد أسطر مفرد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
538,إدارة النماذج وإدخال البيانات,line-spacing-115,تباعد 1.15,تباعد أسطر 1.15.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
539,إدارة النماذج وإدخال البيانات,line-spacing-15,تباعد 1.5,تباعد أسطر 1.5.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
540,إدارة النماذج وإدخال البيانات,line-spacing-2,تباعد مزدوج,تباعد أسطر مزدوج.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
541,إدارة النماذج وإدخال البيانات,machine-id,نسخ معرّف الجهاز,نسخ Machine ID لإرساله إلى مالك البرنامج.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
542,إدارة النماذج وإدخال البيانات,normalize-unicode-spaces,توحيد المسافات Unicode,تحويل المسافات غير القياسية إلى مسافات عادية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
543,إدارة النماذج وإدخال البيانات,paragraph-after-0-pro,مسافة بعد 0,تعيين المسافة بعد الفقرة إلى 0 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
544,إدارة النماذج وإدخال البيانات,paragraph-after-12-pro,مسافة بعد 12,تعيين المسافة بعد الفقرة إلى 12 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
545,إدارة النماذج وإدخال البيانات,paragraph-after-3-pro,مسافة بعد 3,تعيين المسافة بعد الفقرة إلى 3 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
546,إدارة النماذج وإدخال البيانات,paragraph-after-6-pro,مسافة بعد 6,تعيين المسافة بعد الفقرة إلى 6 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
547,إدارة النماذج وإدخال البيانات,paragraph-before-0,مسافة قبل 0,تعيين المسافة قبل الفقرة إلى 0 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
548,إدارة النماذج وإدخال البيانات,paragraph-before-12,مسافة قبل 12,تعيين المسافة قبل الفقرة إلى 12 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
549,إدارة النماذج وإدخال البيانات,paragraph-before-3,مسافة قبل 3,تعيين المسافة قبل الفقرة إلى 3 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
550,إدارة النماذج وإدخال البيانات,paragraph-before-6,مسافة قبل 6,تعيين المسافة قبل الفقرة إلى 6 نقاط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
551,إدارة النماذج وإدخال البيانات,paragraphs-checkboxes,تحويل إلى قائمة تحقق,إضافة مربع ☐ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
552,إدارة النماذج وإدخال البيانات,paragraphs-checked,تحويل إلى قائمة منجزة,إضافة علامة ☑ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
553,إدارة النماذج وإدخال البيانات,paragraphs-semicolon-list,الفقرات إلى قائمة منقوطة,دمج الفقرات بفواصل منقوطة عربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
554,إدارة النماذج وإدخال البيانات,productivity-focus-mode,وضع التركيز,تقليل عناصر الواجهة وإخفاء علامات التنسيق للكتابة المركزة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
555,إدارة النماذج وإدخال البيانات,productivity-restore-view,استعادة واجهة العمل,إظهار المساطر وشريط الحالة وعلامات العرض الأساسية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
556,إدارة النماذج وإدخال البيانات,productivity-word-goal,هدف الكلمات,تحديد هدف كلمات وعرض نسبة الإنجاز الحالية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
557,إدارة النماذج وإدخال البيانات,productivity-writing-session,بدء جلسة كتابة,تسجيل بداية جلسة كتابة ومقارنة عدد الكلمات لاحقًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
558,إدارة النماذج وإدخال البيانات,proofing-language-arabic,لغة التدقيق العربية,تعيين لغة التدقيق للنص إلى العربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
559,إدارة النماذج وإدخال البيانات,proofing-language-english,لغة التدقيق الإنجليزية,تعيين لغة التدقيق للنص إلى الإنجليزية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
560,إدارة النماذج وإدخال البيانات,remove-all-blank-paragraphs,حذف كل الفقرات الفارغة,إزالة جميع الفقرات الخالية من التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
561,التخصيص والأداء والإنتاجية,table-column-width-prompt,عرض أعمدة مخصص,ضبط عرض الأعمدة بالسنتيمتر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
562,التخصيص والأداء والإنتاجية,titlecase,Title Case,تكبير بدايات الكلمات الإنجليزية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
563,التخصيص والأداء والإنتاجية,remove-page-breaks,حذف فواصل الصفحات,حذف جميع فواصل الصفحات اليدوية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
564,التخصيص والأداء والإنتاجية,remove-repeated-punctuation,حذف الترقيم المكرر,اختصار علامات الترقيم المتتابعة المكررة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
565,التخصيص والأداء والإنتاجية,remove-section-breaks,حذف فواصل المقاطع,حذف جميع فواصل المقاطع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
566,التخصيص والأداء والإنتاجية,remove-short-paragraphs,حذف الفقرات القصيرة,حذف الفقرات الأقل من عدد أحرف تختاره.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
567,التخصيص والأداء والإنتاجية,reverse-paragraph-order,عكس ترتيب الفقرات,عكس ترتيب الأسطر والفقرات المحددة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
568,التخصيص والأداء والإنتاجية,sentences-to-paragraphs,الجمل إلى فقرات,وضع كل جملة في فقرة مستقلة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
569,التخصيص والأداء والإنتاجية,sort-paragraphs-length,فرز الفقرات حسب الطول,ترتيب الفقرات من الأقصر إلى الأطول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
570,التخصيص والأداء والإنتاجية,space-after-0,مسافة بعد 0,إلغاء المسافة بعد الفقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
571,التخصيص والأداء والإنتاجية,space-after-12,مسافة بعد 12,تعيين 12 نقطة بعد الفقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
572,التخصيص والأداء والإنتاجية,space-after-6,مسافة بعد 6,تعيين 6 نقاط بعد الفقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
573,التخصيص والأداء والإنتاجية,strip-html-tags,حذف وسوم HTML,إزالة وسوم HTML وفك الكيانات النصية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
574,التخصيص والأداء والإنتاجية,strip-list-markers,حذف بادئات القوائم,إزالة الأرقام والنقاط والشرطات اليدوية من بدايات الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
575,التخصيص والأداء والإنتاجية,style-normal,نمط عادي,تطبيق Normal.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
576,التخصيص والأداء والإنتاجية,table-bold-first-row,صف أول بارز,تغليظ الصف الأول وتكراره كرأس.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
577,التخصيص والأداء والإنتاجية,table-currency-format,تنسيق خلايا كعملة,تنسيق القيم الرقمية برمز عملة تختاره.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
578,التخصيص والأداء والإنتاجية,table-percentage-format,تنسيق خلايا كنسبة,تنسيق الأرقام كنسب مئوية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
579,التخصيص والأداء والإنتاجية,table-remove-cell-breaks,حذف فواصل الخلايا,إزالة فواصل الأسطر من داخل الخلايا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
580,التخصيص والأداء والإنتاجية,tabs-to-spaces,Tabs إلى مسافات,استبدال علامات الجدولة بمسافات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
581,التخصيص والأداء والإنتاجية,unique-sorted-lines,أسطر فريدة مرتبة,حذف التكرار وفرز الأسطر تصاعديًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
582,التخصيص والأداء والإنتاجية,unique-words-only,الكلمات الفريدة فقط,الاحتفاظ بأول ظهور لكل كلمة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
583,التخصيص والأداء والإنتاجية,unlink-fields,تحويل الحقول إلى نص,إلغاء ارتباط الحقول مع إبقاء النتائج.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
584,التخصيص والأداء والإنتاجية,update-fields,تحديث جميع الحقول,تحديث الحقول والفهارس.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
585,التخصيص والأداء والإنتاجية,widow-control-on,منع الأرامل واليتامى,تفعيل Widow/Orphan Control للفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
586,التخصيص والأداء والإنتاجية,wrap-angles-pro,أقواس زاوية,إحاطة النص المحدد بنمط أقواس زاوية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
587,التخصيص والأداء والإنتاجية,wrap-arabic-brackets-pro,أقواس عربية مزخرفة,إحاطة النص المحدد بنمط أقواس عربية مزخرفة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
588,التخصيص والأداء والإنتاجية,wrap-arabic-quotes,إحاطة باقتباس عربي,إحاطة التحديد بعلامتي « ».,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
589,التخصيص والأداء والإنتاجية,wrap-arabic-quotes-pro,اقتباس عربي,إحاطة النص المحدد بنمط اقتباس عربي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
590,التخصيص والأداء والإنتاجية,wrap-braces-pro,أقواس معقوفة,إحاطة النص المحدد بنمط أقواس معقوفة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
591,التخصيص والأداء والإنتاجية,wrap-brackets,إحاطة بأقواس مربعة,إحاطة التحديد بـ [ ].,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
592,التخصيص والأداء والإنتاجية,wrap-brackets-pro,أقواس مربعة,إحاطة النص المحدد بنمط أقواس مربعة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
